,id,name
92,"['629104907', '579417432', '545255902', '544317476', '541984911', '541934251', '511775341', '494921867', '449448500', '443198971']",유가네 닭갈비 명동1호점
93,"['550482975', '544518520', '538985359', '531005367', '521695219', '486871448', '475122955', '463654279', '456103439', '445591664']",더 킹스
94,"['669627679', '640406196', '613085289', '581136423', '557117095', '544324606', '531078328', '516167100', '474468739', '451833073']",마포 진짜 원조 최대포
95,"['644670229', '554840479', '543490525', '541367028', '541250284', '531118073', '503747205', '493158550', '482083787', '474389894']",모모 카페
96,"['542735473', '541221473', '500109018', '446519020', '410037663', '343916131', '329925285', '298100082', '278078160', '671467628']",단풍나무 집 강남역점
97,"['650146736', '555325781', '541724946', '541361949', '490521513', '423390471', '315003111', '305173283', '197577150', '164359698']",아리랑
98,"['653874893', '609404572', '571031378', '543620693', '543375031', '543316992', '541713590', '476022926', '397817270', '382382662']",스쿨푸드 명동엠플라자점
99,"['558017076', '546295153', '545871015', '511733002', '413363318', '351798230', '335047616', '323051635', '315063305', '310378140']",피자 필
100,"['647708570', '627285276', '553803768', '547972114', '541125426', '541013786', '481626370', '438199731', '388387669', '344154246']",원스인어블루문
101,"['657538557', '629665654', '628229438', '620439790', '604479232', '567170181', '564126708', '556328057', '541888764', '508276176']",텍사스 데 브라질
102,"['559722977', '551382851', '546327932', '451803308', '440796351', '423177276', '404290299', '378488366', '625443797', '624186179']",제임스치즈등갈비 명동점
103,"['565788042', '554778633', '541222366', '496997577', '391005478', '382087152', '372368403', '365419607', '351983106', '343985812']",강남면옥
104,"['635018911', '614845342', '590851716', '588885785', '567786839', '562805381', '543381651', '542990790', '542559078', '541257088']",울프강스테이크하우스코리아
105,"['671331391', '660779549', '656905913', '650967416', '645461330', '626684324', '608303254', '588754100', '585880176', '567699961']",숙영식당
106,"['631428406', '548942829', '545674033', '545169428', '446205827', '358896256', '343969678', '331960548', '320652945', '317188620']",한쿡 N서울타워점
107,"['659016154', '574370216', '555427718', '544323083', '542733743', '541209128', '478101835', '451114589', '374824049', '355179655']",매드포갈릭 강남점
108,"['674079835', '625758551', '569344973', '545674872', '544118033', '541121550', '446545078', '440791836', '424633086', '397553746']",신촌 황소곱창
109,"['658690064', '544135650', '544007907', '543719954', '540879269', '372245810', '370797436', '358648464', '347501717', '346521042']",홍콩반점0410 명동점
110,"['664365456', '631518092', '628921831', '626358991', '613701135', '601017835', '571397136', '570076400', '541223167', '461734672']",강남교자
111,"['673123280', '664358152', '651580312', '625355674', '553670900', '544675484', '530939899', '509038233', '504316425', '480742253']",명월관
112,"['659737747', '641386093', '629084025', '545387411', '543804051', '449038167', '423688582', '408654386', '362499114', '340182766']",스쿨푸드 가로수길점
113,"['669627679', '640406196', '613085289', '581136423', '557117095', '544324606', '531078328', '516167100', '474468739', '451833073']",마포 진짜 원조 최대포
114,"['165277896', '165277898', '165277899', '165277902', '165277904', '662141917', '652259036', '637905662', '598385362', '597788268']",우리 가든
115,"['675135225', '641325905', '628301259', '548523757', '546756828', '538619070', '528605022', '522957856', '471015223', '450043549']",발우공양
116,"['623349781', '557198624', '551382276', '492074705', '435765059', '432013448', '339894162', '335986657', '319978229', '574996491']",다담
117,"['674963328', '652436551', '640851089', '565602304', '564165420', '544320940', '543775010', '531576546', '507951871', '479063105']",에베레스트
118,"['633707090', '600329401', '570057741', '543173177', '517707843', '509139963', '507609583', '468721569', '450635111', '369751664']",CJ 푸드월드
119,"['658372431', '629265741', '616596302', '574651329', '558802133', '549444139', '549232170', '543790030', '542085642', '530432207']",삼청동 수제비
120,"['657281317', '601971608', '544887305', '540082398', '518199227', '490521581', '476256490', '460858812', '432622652', '428311834']",젤렌 이태원 본점
121,"['674964754', '668780031', '612874781', '437254066', '378487854', '357196458', '321485417', '315920960', '311447558', '604628790']",호봉토스트
122,"['658159897', '598460980', '545411601', '544323250', '492067319', '452493676', '385965634', '335666525', '330818058', '328483367']",왕 타이
123,"['601991492', '556208504', '543510549', '541863237', '528921684', '527970239', '500502591', '450555561', '438723141', '422073701']",37 그릴 & 바
124,"['674963693', '666551944', '640852300', '525483746', '492124631', '418689515', '403207506', '377889436', '375490746', '345113348']",일미 간장 게장
125,"['658377794', '657955456', '613644063', '543926300', '432645773', '323091108', '261815327', '222095831', '164361287', '164361292']",울프하운드 아이리쉬 펍 & 레스토랑
126,"['635875951', '591619612', '541034936', '537569669', '460274725', '450931366', '432145244', '409841101', '381263029', '372715638']",페어링룸
127,"['612738483', '566443530', '423178565', '399528324', '321484609', '666175438', '665898223', '629271408', '626754750', '622797073']",치킨 678 명동
128,"['622120822', '329111072', '322547232', '232315981', '165278448', '165278451', '165278454', '165278455', '165278459', '671502699']",산촌
129,"['655086379', '606361772', '559541781', '558903682', '546302627', '523971915', '520996536', '506098464', '489518966', '482646744']",피짜 무쪼
130,"['659843881', '632333907', '614597862', '565581715', '550392592', '546982943', '541040449', '526031022', '486042980', '486042813']",큰기와집
131,"['668780123', '653875374', '600132640', '571371874', '544498681', '541709772', '496510744', '444692213', '435021447', '410919286']",벽제 갈비
132,"['675147024', '666687796', '637528169', '585879891', '554680907', '543469615', '539286398', '530928509', '525393072', '507962094']",홍시한정식
133,"['626841466', '619669687', '583267451', '569168892', '567670000', '565585814', '556611533', '549384865', '546127428', '519964481']",요석궁
134,"['673438541', '651703364', '578042258', '560954233', '549208127', '546328133', '545197601', '541047006', '539894058', '523127174']",경주천년한우 보문점
135,"['444115808', '346115025', '342790418', '331346652', '329919909', '323088305', '321737473', '164360749', '164360753', '164360755']",타지 명동점
136,"['666538696', '655312466', '646301462', '638561273', '622651437', '613454741', '607243351', '581972681', '577831638', '574114082']",함양집
137,"['674945997', '659203613', '656961712', '651988310', '621692521', '616991703', '611787428', '609063461', '607200138', '603693356']",맷돌순두부
138,"['666061458', '650899230', '601133513', '594487535', '586302573', '572683240', '559511441', '546522527', '544005930', '542573994']",도솔마을
139,"['665868469', '639703444', '632054798', '570730726', '545878704', '534771229', '523607280', '513982649', '509682063', '508406170']",별채반 교동쌈밥
140,"['671741184', '671149581', '670582794', '665943873', '664106955', '650607952', '648851869', '648232095', '646716293', '640022024']",삼백집
141,"['672904226', '672064614', '671822886', '671725563', '632705853', '627790055', '590753241', '546295421', '545883077', '542120522']",부다스밸리 이태원점
142,"['671742218', '665946881', '651937568', '642539543', '640021836', '626464142', '620828824', '603544500', '602817989', '555784959']",현대옥 남부시장점
143,"['655926031', '634096190', '596556294', '565185308', '551383103', '541032961', '537294316', '523289033', '517757381', '512995496']",오장동 흥남집
